run_id,seed,mode,agent,shift_delta,pre_shift_mae,post_shift_mae,post_shift_aue,adaptation_time,action_counts,stabilize_fraction_post_shift,replay_hash,pass_fail,failure_reason
random_action-action_null-d4.0-s25,25,action_null,random_action,4.0,1.1903206741554777,2.513952237380162,628.4880593450405,23.0,"{""stabilize"": 199, ""observe"": 201, ""destabilize"": 200}",0.352,592fddcd18dfbc466b8546513d49349d722894815e8e0c8eef9502f14ce8c701,n/a,
causal_learned-interventional-d4.0-s26,26,interventional,causal_learned,4.0,0.8902242548813134,1.3732875446823378,343.32188617058443,23.0,"{""observe"": 165, ""stabilize"": 435}",0.7,aecac3e5d49644ac8f1834b4346620605f923a6d8de4c28061e0441b0f5f8aee,n/a,
no_action-interventional-d4.0-s26,26,interventional,no_action,4.0,1.2303037233426937,2.322246575441722,580.5616438604305,66.0,"{""observe"": 600}",0.0,2fb48dc978c44360a76cf4cf9851b7bc80699b6fb02679b45054d89e2f9dfd27,n/a,
random_action-interventional-d4.0-s26,26,interventional,random_action,4.0,1.359564412992192,3.2195093369199723,804.877334229993,106.0,"{""destabilize"": 222, ""stabilize"": 192, ""observe"": 186}",0.316,e0e484759521263889dbaf67b89f86c141f5ba6da1bebdb31a5b727219814197,n/a,
causal_learned-action_null-d4.0-s26,26,action_null,causal_learned,4.0,1.2303037233426937,2.322246575441722,580.5616438604305,66.0,"{""observe"": 436, ""stabilize"": 164}",0.096,2fb48dc978c44360a76cf4cf9851b7bc80699b6fb02679b45054d89e2f9dfd27,n/a,
no_action-action_null-d4.0-s26,26,action_null,no_action,4.0,1.2303037233426937,2.322246575441722,580.5616438604305,66.0,"{""observe"": 600}",0.0,2fb48dc978c44360a76cf4cf9851b7bc80699b6fb02679b45054d89e2f9dfd27,n/a,
random_action-action_null-d4.0-s26,26,action_null,random_action,4.0,1.2303037233426937,2.322246575441722,580.5616438604305,66.0,"{""destabilize"": 222, ""stabilize"": 192, ""observe"": 186}",0.316,2fb48dc978c44360a76cf4cf9851b7bc80699b6fb02679b45054d89e2f9dfd27,n/a,
causal_learned-interventional-d4.0-s27,27,interventional,causal_learned,4.0,0.9934868299681435,1.488043372467841,372.01084311696025,51.0,"{""observe"": 231, ""stabilize"": 369}",0.668,c5e0b65df919df63efd52103af8c841cbb2de84e305ec13e547ceb88dfb3ed84,n/a,
no_action-interventional-d4.0-s27,27,interventional,no_action,4.0,1.217475161864547,2.4930282826591186,623.2570706647797,54.0,"{""observe"": 600}",0.0,1d0e8dbe27dc77e9e2c100e8b5c59d24fdb6c49e8046414df625d7c56a2ed21d,n/a,
random_action-interventional-d4.0-s27,27,interventional,random_action,4.0,1.4797951140459977,2.947032322867573,736.7580807168933,0.0,"{""observe"": 193, ""destabilize"": 219, ""stabilize"": 188}",0.348,6131de7e9d88bc5a3f84946f8787c51855e74025bd278aee302cfd1ce7836d2c,n/a,
causal_learned-action_null-d4.0-s27,27,action_null,causal_learned,4.0,1.217475161864547,2.4930282826591186,623.2570706647797,54.0,"{""observe"": 479, ""stabilize"": 121}",0.192,1d0e8dbe27dc77e9e2c100e8b5c59d24fdb6c49e8046414df625d7c56a2ed21d,n/a,
no_action-action_null-d4.0-s27,27,action_null,no_action,4.0,1.217475161864547,2.4930282826591186,623.2570706647797,54.0,"{""observe"": 600}",0.0,1d0e8dbe27dc77e9e2c100e8b5c59d24fdb6c49e8046414df625d7c56a2ed21d,n/a,
